"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICIBANK","EQ","27-Dec-2018","        355.85","        359.50","        360.75","        354.90","        355.25","        355.65","        357.63","   10122458","          3620143571.20","     111329","    4206243","         41.55"
"ICICIBANK","EQ","28-Dec-2018","        355.65","        358.30","        362.80","        358.30","        360.55","        360.75","        360.98","   13004606","          4694454597.30","      84468","    7072595","         54.39"
"ICICIBANK","EQ","31-Dec-2018","        360.75","        362.80","        363.50","        359.50","        360.80","        360.15","        361.17","    7314108","          2641601465.45","      97904","    3380398","         46.22"
"ICICIBANK","EQ","01-Jan-2019","        360.15","        361.50","        364.80","        356.40","        364.20","        363.75","        360.35","    7759872","          2796307882.85","      65606","    3670397","         47.30"
"ICICIBANK","EQ","02-Jan-2019","        363.75","        361.50","        367.90","        360.30","        364.30","        364.60","        364.87","   18243156","          6656364660.40","     133500","    8786796","         48.16"
"ICICIBANK","EQ","03-Jan-2019","        364.60","        365.00","        367.30","        362.05","        362.10","        363.25","        365.31","   12884409","          4706846631.45","     114828","    5954164","         46.21"
"ICICIBANK","EQ","04-Jan-2019","        363.25","        361.85","        368.80","        358.05","        366.35","        365.20","        362.95","   22896026","          8310166817.60","     173791","    9611027","         41.98"
"ICICIBANK","EQ","07-Jan-2019","        365.20","        367.50","        371.00","        366.55","        367.65","        367.70","        369.12","   12719847","          4695125833.60","     123595","    6130788","         48.20"
"ICICIBANK","EQ","08-Jan-2019","        367.70","        367.80","        381.80","        366.60","        379.30","        380.15","        375.83","   21501136","          8080718598.20","     180003","    9407100","         43.75"
"ICICIBANK","EQ","09-Jan-2019","        380.15","        381.65","        383.55","        375.60","        382.25","        382.25","        380.96","   21730142","          8278415394.55","     163048","    9914582","         45.63"
"ICICIBANK","EQ","10-Jan-2019","        382.25","        380.95","        382.15","        376.05","        379.90","        379.50","        378.96","   14497154","          5493801551.85","     103333","    7209781","         49.73"
"ICICIBANK","EQ","11-Jan-2019","        379.50","        380.60","        381.20","        375.25","        377.55","        378.55","        377.60","   12537973","          4734286599.05","      96658","    6614122","         52.75"
"ICICIBANK","EQ","14-Jan-2019","        378.55","        378.70","        378.70","        372.70","        373.40","        373.35","        374.37","   14844029","          5557219982.95","     102864","    9673194","         65.17"
"ICICIBANK","EQ","15-Jan-2019","        373.35","        373.55","        375.40","        370.60","        373.00","        372.75","        372.71","   12960779","          4830604870.15","      79640","    7357452","         56.77"
"ICICIBANK","EQ","16-Jan-2019","        372.75","        372.05","        379.75","        372.05","        375.25","        375.30","        377.05","   15106484","          5695948570.10","     112010","    8277055","         54.79"
"ICICIBANK","EQ","17-Jan-2019","        375.30","        376.00","        377.95","        372.80","        374.40","        374.60","        375.22","   13171721","          4942285393.85","     117861","    6760282","         51.32"
"ICICIBANK","EQ","18-Jan-2019","        374.60","        374.60","        376.40","        370.35","        372.00","        372.00","        373.10","   12212121","          4556394213.00","      72758","    5194085","         42.53"
"ICICIBANK","EQ","21-Jan-2019","        372.00","        373.00","        376.15","        370.60","        371.45","        371.70","        373.10","    8908581","          3323835409.65","     142287","    4797373","         53.85"
"ICICIBANK","EQ","22-Jan-2019","        371.70","        370.55","        372.50","        366.10","        368.95","        369.05","        368.59","   14756076","          5438899263.80","     121591","    9078106","         61.52"
